,Close_NIO_sqrt,Close_NIO,Close_NIO_square,Close_Toyota_square,Close_Toyota,Close_Toyota_sqrt,Close_Ford,Close_Honda_square,Close_Honda,Close_Honda_sqrt,Close_Ford_square
136,1.8788294228055935,3.53,12.460899999999999,14068.33217907333,118.61000033333332,10.89082183920632,5.173333333333333,555.0736471200012,23.560001000000003,4.8538645428153435,26.763377777777773
137,1.9,3.61,13.0321,14273.08113894,119.470001,10.930233346091015,5.31,569.7769477400009,23.870001,4.885693502462061,28.196099999999994
138,1.9209372712298547,3.69,13.6161,13975.96863644,118.220001,10.872902142482475,5.3,561.690047400001,23.700001,4.868264680561237,28.09
139,1.865475810617763,3.48,12.1104,14356.832399999998,119.82,10.946232228488485,5.49,581.292148220001,24.110001,4.910193580705347,30.140100000000004
140,1.8248287590894658,3.33,11.0889,13912.201792300008,117.949997,10.860478672692102,5.63,563.1129,23.73,4.87134478352744,31.6969
141,1.8083141320025125,3.27,10.6929,13820.353129760002,117.559998,10.842508842514263,5.65,557.4321472200011,23.610001,4.859012348204108,31.922500000000003
142,1.8459414941974732,3.4075,11.61105625,14208.04370825625,119.19749875,10.917760702176981,5.6975,585.8820613075005,24.20500075,4.919857797741719,32.46150625
143,1.882817038376273,3.545,12.567025,14601.097104165,120.8349995,10.992497418694262,5.745,615.0400248000002,24.8000005,4.9799598893967,33.005025
144,1.918984106239549,3.6825,13.56080625,14999.51331748625,122.47250025,11.066729428787893,5.7925,644.9060376975,25.39500025,5.0393452203634554,33.553056250000004
145,1.9544820285692064,3.82,14.5924,15403.29234822,124.110001,11.140466821457707,5.84,675.4800999999999,25.99,5.098038838612354,34.105599999999995
146,2.0420577856662137,4.17,17.3889,16080.775592760003,126.809998,11.260994538671973,6.03,705.9649000000001,26.57,5.154609587543949,36.3609
147,1.9570385790780926,3.83,14.6689,16476.289856720003,128.360001,11.329607274746994,5.85,721.459653720001,26.860001,5.1826635044154665,34.2225
148,1.9949937343260002,3.98,15.8404,15878.520604040004,126.010002,11.225417675970904,5.71,678.602447900001,26.049999,5.10391996410602,32.6041
149,2.0182500670960803,4.073333333333333,16.592044444444443,15915.504628548888,126.156667,11.231948495252281,5.763333333333334,684.1711936733333,26.15666633333333,5.114358838929209,33.216011111111115
150,2.0412414523193148,4.166666666666666,17.361111111111107,15952.531674302223,126.303332,11.23847551939319,5.816666666666666,689.7626952866668,26.263333666666668,5.124776450409,33.83361111111111
151,2.0639767440550294,4.26,18.147599999999997,15989.601741300008,126.449997,11.244998755002154,5.87,695.3769527400009,26.370001,5.135172927954812,34.456900000000005
152,2.16794833886788,4.7,22.090000000000003,15997.191158880009,126.480003,11.24633286898445,5.9,700.6608470600011,26.469999,5.144900290579012,34.81
153,2.3664319132398464,5.6,31.359999999999996,16571.411870160016,128.729996,11.345924202108879,6.19,729.0,27.0,5.196152422706632,38.316100000000006
154,2.4433583445741234,5.97,35.640899999999995,16424.986625280013,128.160004,11.320777535134235,6.57,725.2248999999999,26.93,5.189412298131649,43.1649
155,2.364318083507378,5.59,31.248099999999997,17187.21157320004,131.100006,11.449891091185103,7.34,782.8804,27.98,5.289612462175278,53.8756
156,2.3909551787239063,5.716666666666667,32.68027777777778,17272.09420914004,131.42333966666666,11.46400190451252,7.403333333333333,784.9336111111111,28.016666666666666,5.293077239816803,54.80934444444444
157,2.4172987679087856,5.843333333333333,34.14454444444444,17357.185934400048,131.74667333333335,11.478095370458174,7.466666666666667,786.989511111111,28.05333333333333,5.296539750944321,55.751111111111115
158,2.4433583445741234,5.97,35.640899999999995,17442.48674898005,132.070007,11.492171552844136,7.53,789.0481,28.09,5.3,56.700900000000004
159,2.584569596664017,6.68,44.6224,17053.74705528002,130.589996,11.427597997829642,7.24,772.839944400001,27.799999,5.272570435755221,52.4176
160,2.5099800796022267,6.3,39.69,17163.618789900025,131.009995,11.445959767533695,6.81,780.0849,27.93,5.2848841046895245,46.376099999999994
161,2.4310491562286436,5.91,34.9281,15485.314097760005,124.440002,11.155267903551218,6.13,665.124151580001,25.790001,5.0783856686943345,37.5769
162,2.4698178070456938,6.1,37.209999999999994,16337.952399999998,127.82,11.305750749065716,6.46,697.4881,26.41,5.139066063011839,41.7316
163,2.5185974933151454,6.343333333333333,40.23787777777777,16302.182570239998,127.68000066666666,11.299557542960107,6.473333333333334,696.0802777777777,26.383333333333333,5.136470902607483,41.904044444444445
164,2.5664502073226876,6.586666666666667,43.38417777777778,16266.45194010667,127.54000133333334,11.293360940540833,6.486666666666666,694.6738777777778,26.356666666666666,5.133874430356343,42.07684444444444
